Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.28239771,..,..,..,..,48.5648929,..,..,..,..,51.55453373,..,..,..,..,46.15192895,..,..,..,..,51.82178913,56.24722763,54.70023262,58.79165857,61.86532919,60.59701482,57.20370424,53.35536322,52.80462038,52.41704109,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.9474816,..,..,..,..,24.12933961,..,..,..,..,24.30286936,..,..,..,..,22.16948971,..,..,..,..,21.63144957,23.414815,21.55597679,20.05028087,19.94217042,19.54397528,17.81730527,19.01906113,18.82011853,18.63878032,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.06889972,..,..,..,..,32.11741075,..,..,..,..,35.37684627,..,..,..,..,34.00185152,..,..,..,..,31.94215239,31.47118632,32.49110136,30.3495654,31.87523927,33.44000481,32.79009631,32.55274407,32.66295035,32.83308539,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.724221144,..,..,..,..,6.677788857,..,..,..,..,5.899967661,..,..,..,..,6.073849362,..,..,..,..,5.822674196,5.495040024,5.582985487,5.575990242,5.977969295,6.029516789,6.543290084,6.339296397,6.35907699,6.300155035,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.26030327,..,..,..,..,12.89488469,..,..,..,..,13.6184311,..,..,..,..,12.17828755,..,..,..,..,11.25750375,12.31364419,11.21333853,10.22088866,9.589170072,10.34568624,8.943875425,9.137722902,9.181820028,9.066401367,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.66082231,..,..,..,..,27.29682483,..,..,..,..,28.13389466,..,..,..,..,28.31636067,..,..,..,..,28.62971853,28.8143365,29.11115709,29.20983831,28.23624771,29.1040242,29.17977414,28.0424247,28.50920176,28.4208104,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.11745994,..,..,..,..,18.1303641,..,..,..,..,18.17867165,..,..,..,..,16.5773788,..,..,..,..,16.89122391,16.08669375,16.78599453,16.94753609,16.48732491,18.14588457,17.6733477,17.18390999,17.5653142,17.59200058,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.62276872,..,..,..,..,15.5412485,..,..,..,..,14.16360006,..,..,..,..,13.29202423,..,..,..,..,13.7363052,14.18995612,13.35883878,14.70187086,13.77937715,14.58721171,14.11129971,13.61076539,13.63250289,13.51118918,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.12429552,..,..,..,..,31.47305054,..,..,..,..,31.07417312,..,..,..,..,31.92346789,..,..,..,..,35.39548583,39.93109313,40.53562091,38.4153887,38.00214063,37.38765045,34.24036582,34.90719855,34.03041055,33.65637939,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.593652633,..,..,..,..,7.475606975,..,..,..,..,7.356627454,..,..,..,..,6.904730947,..,..,..,..,6.785235613,6.707494797,6.995491287,6.964302296,6.880050681,6.848476723,6.815366192,6.673638956,6.738086439,6.745497859,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.28759264,..,..,..,..,20.10142092,..,..,..,..,17.30168358,..,..,..,..,16.47804063,..,..,..,..,15.7085395,16.0961842,14.50094818,14.50183038,12.81319702,13.35116934,12.30410306,11.96813105,12.31952644,12.16821803,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.69528563,..,..,..,..,26.19512957,..,..,..,..,24.5397947,..,..,..,..,23.1507772,..,..,..,..,25.08164307,27.00590351,28.76775881,28.23862769,27.48496809,26.06618737,24.38549474,25.0632901,25.13594199,25.4950546,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.80969086,..,..,..,..,16.96833987,..,..,..,..,17.36915156,..,..,..,..,16.44163266,..,..,..,..,15.43740141,15.61181668,16.42049683,15.70876377,16.18216874,16.20392015,15.86345443,15.39542797,15.72864111,15.59065792,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.13442627,..,..,..,..,58.5159852,..,..,..,..,63.07217982,..,..,..,..,66.59652745,..,..,..,..,63.75377018,65.33843793,68.07534915,64.28454239,59.51273914,66.36107967,61.64582457,61.67431284,60.43815811,59.21710593,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.90993831,..,..,..,..,51.64362616,..,..,..,..,53.74695817,..,..,..,..,55.06194439,..,..,..,..,56.41649854,60.5358739,68.94271136,66.42738113,73.27082296,68.97033719,67.7673598,62.75318316,63.27546257,63.4255285,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.03546704,..,..,..,..,22.02975898,..,..,..,..,22.09745927,..,..,..,..,19.76708368,..,..,..,..,19.93972371,19.16245671,20.0960981,20.12125502,20.19670971,21.94444639,21.08043284,20.92639263,21.26503022,21.34389367,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.2079681,..,..,..,..,23.08216971,..,..,..,..,21.8129049,..,..,..,..,21.00241299,..,..,..,..,22.09841962,19.55318145,18.88122818,19.78007712,20.21540632,18.50294397,16.71207883,16.40896425,16.50189248,16.42351285,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.05108459,..,..,..,..,19.69909675,..,..,..,..,17.64764194,..,..,..,..,15.83183972,..,..,..,..,16.88463686,16.14879057,15.11497046,14.23228565,12.83901513,13.20164452,12.37628991,12.82757618,12.76304285,12.6724532,..,..,..
