"","country","year","CO2_emissions","PM_exposure","wind_generation","solar_generation","geo_generation","hydro_generation","nuclear_generation","Population"
"1","Algeria",1965,0.53213745,NA,0,0,0,0.4,0,12381256
"2","Algeria",1966,0.6676125,NA,0,0,0,0.355,0,12613389
"3","Algeria",1967,0.6537573,NA,0,0,0,0.41,0,12897115
"4","Algeria",1968,0.6860928,NA,0,0,0,0.563,0,13190975
"5","Algeria",1969,0.8348491,NA,0,0,0,0.361,0,13491016
"6","Algeria",1970,1.0915521,NA,0,0,0,0.58,0,13795915
"7","Algeria",1971,1.3216991,NA,0,0,0,0.33,0,14110271
"8","Algeria",1972,1.9614357,NA,0,0,0,0.495,0,14439748
"9","Algeria",1973,2.588677,NA,0,0,0,0.752,0,14786469
"10","Algeria",1974,2.10357,NA,0,0,0,0.497,0,15153602
"11","Algeria",1975,2.0350919,NA,0,0,0,0.328,0,15724692
"12","Algeria",1976,2.3715057,NA,0,0,0,0.389,0,16500516
"13","Algeria",1977,2.442187,NA,0,0,0,0.269,0,17134192
"14","Algeria",1978,3.5420244,NA,0,0,0,0.25,0,17632645
"15","Algeria",1979,2.507051,NA,0,0,0,0.291,0,18166981
"16","Algeria",1980,3.5442193,NA,0,0,0,0.257,0,18739378
"17","Algeria",1981,2.3947668,NA,0,0,0,0.366,0,19351357
"18","Algeria",1982,1.958642,NA,0,0,0,0.479,0,NA
"19","Algeria",1983,2.538615,NA,0,0,0,0.235,0,NA
"20","Algeria",1984,3.316261,NA,0,0,0,0.452,0,NA
"21","Algeria",1985,3.2805932,NA,0,0,0,0.646,0,NA
"22","Algeria",1986,3.32482,NA,0,0,0,0.25,0,NA
"23","Algeria",1987,3.5564804,NA,0,0,0,0.499,0,NA
"24","Algeria",1988,3.4528713,NA,0,0,0,0.183,0,24243018
"25","Algeria",1989,3.2065012,NA,0,0,0,0.226,0,24889507
"26","Algeria",1990,3.0071871,30.06889972,0,0,0,0.135,0,25518074
"27","Algeria",1991,3.0155015,NA,0,0,0,0.293,0,26133905
"28","Algeria",1992,2.9864817,NA,0,0,0,0.199,0,26748303
"29","Algeria",1993,2.9956493,NA,0,0,0,0.353,0,27354327
"30","Algeria",1994,3.0836332,NA,0,0,0,0.166,0,27937006
"31","Algeria",1995,3.335253,32.11741075,0,0,0,0.193,0,28478022
"32","Algeria",1996,3.3392265,NA,0,0,0,0.135,0,28984634
"33","Algeria",1997,2.9517105,NA,0,0,0,0.075,0,29476031
"34","Algeria",1998,3.562981,NA,0,0,0,0.215,0,29924668
"35","Algeria",1999,3.020759,NA,0,0,0,0.203,0,30346083
"36","Algeria",2000,2.6717145,35.37684627,0,0,0,0.054,0,30774621
"37","Algeria",2001,2.6851783,NA,0,0,0,0.069,0,31200985
"38","Algeria",2002,2.8271236,NA,0,0,0,0.057,0,31624696
"39","Algeria",2003,2.8403025,NA,0,0,0,0.265,0,32055883
"40","Algeria",2004,2.7023332,NA,0,0,0,0.251,0,32510186
"41","Algeria",2005,3.2306898,34.00185152,0,0,0,0.5553,0,NA
"42","Algeria",2006,2.9969378,NA,0,0,0,0.2176,0,NA
"43","Algeria",2007,3.1898088,NA,0,0,0,0.226,0,NA
"44","Algeria",2008,3.153985,NA,0,0,0,0.283,0,NA
"45","Algeria",2009,3.4147267,NA,0,0,0,0.342,0,NA
"46","Algeria",2010,3.2856946,31.94215239,0,0.0091,0,0.173,0,NA
"47","Algeria",2011,3.278487,31.47118632,0,0.01811875,0,0.378,0,36543541
"48","Algeria",2012,3.64123,32.49110136,0,0.0267230136986301,0,0.389,0,37260563
"49","Algeria",2013,3.7048435,30.3495654,0,0.0286,0,0.099,0,38000626
"50","Algeria",2014,3.9030473,31.87523927,0.001,0.06,0,0.193,0,38760168
"51","Algeria",2015,4.0484247,33.44000481,0.019,0.058,0,0.145,0,39543154
"52","Algeria",2016,3.9353251,32.79009631,0.0190520547945205,0.245,0,0.072,0,40339329
"53","Algeria",2017,4.0453415,32.55274407,0.019,0.504,0,0.056,0,41136546
"54","Algeria",2018,4.1479607,32.66295035,0.01,0.603,0,0.117,0,41927007
"55","Algeria",2019,4.2033315,32.83308539,0.01,0.615,0,0.152,0,42705368
"56","Algeria",2020,3.9700308,NA,0.0077,0.685,0,0.0496,0,43451666
"57","Algeria",2021,3.9899774,NA,0.0105,0.664,0,0.0093,0,44177969
"58","Algeria",2022,NA,NA,0.0105,0.681770006868928,0,0.07678,0,44903225
"59","Argentina",1965,2.6664438,NA,0,0,0,1.22511627906977,0,22053661
"60","Argentina",1966,2.815352,NA,0,0,0,1.24093023255814,0,22403116
"61","Argentina",1967,2.8771782,NA,0,0,0,1.2706976744186,0,22757014
"62","Argentina",1968,2.9857347,NA,0,0,0,1.49767441860465,0,23112971
"63","Argentina",1969,3.2911031,NA,0,0,0,1.34325581395349,0,23472028
"64","Argentina",1970,3.4663708,NA,0,0,0.0562418529763793,1.55712727906977,0,23842803
"65","Argentina",1971,3.667828,NA,0,0,0.0589907403828468,1.54614827906977,0,24223379
"66","Argentina",1972,3.659347,NA,0,0,0.0760273969029543,1.50264627906977,0,24612794
"67","Argentina",1973,3.7559495,NA,0,0,0.059970250090259,2.99742958139535,0,25020588
"68","Argentina",1974,3.751731,NA,0,0,0.0610032305418605,4.99466295348837,1.036,25449754
"69","Argentina",1975,3.665458,NA,0,0,0.0639903230821324,5.19477460465116,2.517,25875558
"70","Argentina",1976,3.7922616,NA,0,0,0.0609625463679577,5.01490227906977,2.572,26290257
"71","Argentina",1977,3.7698274,NA,0,0,0.0640030678171388,5.76678060465116,1.637,26713780
"72","Argentina",1978,3.77793,NA,0,0,0.0639728103921533,7.74661825581395,2.896,27146121
"73","Argentina",1979,4.0101604,NA,0,0,0.0949837574695375,10.656913255814,2.692,27584134
"74","Argentina",1980,3.8771694,NA,0,0,0.099017625746988,15.1408809302326,2.34,28024803
"75","Argentina",1981,3.581481,NA,0,0,0.087018011691001,14.6847942558139,2.816,28471285
"76","Argentina",1982,3.5733747,NA,0,0,0.114973405995977,17.5921959302326,1.87,NA
"77","Argentina",1983,3.57907,NA,0,0,0.154975609154281,18.4185109302326,3.405,NA
"78","Argentina",1984,3.5683763,NA,0,0,0.114988451472737,19.877866255814,4.641,NA
"79","Argentina",1985,3.3192985,NA,0,0,0.120006409400968,20.6531242558139,5.766,NA
"80","Argentina",1986,3.38721,NA,0,0,0.123990245850553,21.0302462558139,5.711,NA
"81","Argentina",1987,3.6800604,NA,0,0,0.105986293482451,21.9125172558139,6.465,NA
"82","Argentina",1988,3.830954,NA,0,0,0.122961293459473,15.2591439069767,5.798,31690792
"83","Argentina",1989,3.6380713,NA,0,0,0.10600154925112,13.1873929302326,5.039,32165766
"84","Argentina",1990,3.434042,15.62276872,0,0,0.133021813865165,17.7131752790698,7.281,32637657
